3576022	Saint John’s	AG	17.11717	-61.84573	America/Antigua
4166583	Oak Ridge	US	28.47112	-81.42452	America/New_York
4166638	Oakland Park	US	26.17231	-80.13199	America/New_York
4166673	Ocala	US	29.1872	-82.14009	America/New_York
4166776	Ocoee	US	28.56917	-81.54396	America/New_York
4166805	Ojus	US	25.94843	-80.1506	America/New_York
4167003	Opa-locka	US	25.90232	-80.25033	America/New_York
4167147	Orlando	US	28.53834	-81.37924	America/New_York
4167178	Ormond Beach	US	29.28581	-81.05589	America/New_York
4167348	Oviedo	US	28.67	-81.20812	America/New_York
4167424	Pace	US	30.59936	-87.16108	America/Chicago
4167499	Palm Bay	US	28.03446	-80.58866	America/New_York
4167519	Palm Beach Gardens	US	26.82339	-80.13865	America/New_York
4167536	Palm City	US	27.16783	-80.26616	America/New_York
4167538	Palm Coast	US	29.58497	-81.20784	America/New_York
4167545	Palm Harbor	US	28.07807	-82.76371	America/New_York
4167583	Palm Springs	US	26.6359	-80.09615	America/New_York
4167601	Palm Valley	US	30.17746	-81.38758	America/New_York
4167634	Palmetto Bay	US	25.62177	-80.32477	America/New_York
4167694	Panama City	US	30.15946	-85.65983	America/Chicago
4167829	Parkland	US	26.31008	-80.23727	America/New_York
4168139	Pembroke Pines	US	26.00315	-80.22394	America/New_York
4168228	Pensacola	US	30.42131	-87.21691	America/Chicago
4168459	Pine Hills	US	28.55778	-81.4534	America/New_York
4168590	Pinecrest	US	25.66705	-80.30811	America/New_York
4168630	Pinellas Park	US	27.8428	-82.69954	America/New_York
4168659	Pinewood	US	25.86898	-80.21699	America/New_York
4168773	Plant City	US	28.01888	-82.11469	America/New_York
4168782	Plantation	US	26.13421	-80.23184	America/New_York
4168930	Poinciana	US	28.14029	-81.45841	America/New_York
4169014	Pompano Beach	US	26.23786	-80.12477	America/New_York
4169060	Ponte Vedra Beach	US	30.23969	-81.38564	America/New_York
4169130	Port Charlotte	US	26.97617	-82.09064	America/New_York
4169156	Port Orange	US	29.13832	-80.99561	America/New_York
4169171	Port Saint Lucie	US	27.29393	-80.35033	America/New_York
4169345	Princeton	US	25.53844	-80.40894	America/New_York
4169452	Punta Gorda	US	26.92978	-82.04537	America/New_York
4169455	Punta Gorda Isles	US	26.91756	-82.07842	America/New_York
4170005	Richmond West	US	25.6105	-80.42971	America/New_York
4170156	Riverview	US	27.86614	-82.32648	America/New_York
4170174	Riviera Beach	US	26.77534	-80.0581	America/New_York
4170358	Rockledge	US	28.35084	-80.72533	America/New_York
4170617	Royal Palm Beach	US	26.7084	-80.2306	America/New_York
4170688	Ruskin	US	27.72086	-82.43315	America/New_York
4170797	Safety Harbor	US	27.99085	-82.69316	America/New_York
4170965	Saint Cloud	US	28.2489	-81.28118	America/New_York
4171563	Saint Petersburg	US	27.77086	-82.67927	America/New_York
4171782	San Carlos Park	US	26.4673	-81.80147	America/New_York
4172086	Sanford	US	28.80055	-81.27312	America/New_York
4172131	Sarasota	US	27.33643	-82.53065	America/New_York
4172372	Sebastian	US	27.81641	-80.47061	America/New_York
4172434	Seminole	US	27.83975	-82.79121	America/New_York
4173392	South Bradenton	US	27.4631	-82.58176	America/New_York
4173497	South Miami Heights	US	25.59761	-80.38061	America/New_York
4173600	Southchase	US	28.39306	-81.3834	America/New_York
4173838	Spring Hill	US	28.47688	-82.52546	America/New_York
4174201	Stuart	US	27.19755	-80.25283	America/New_York
4174317	Sun City Center	US	27.71809	-82.35176	America/New_York
4174383	Sunny Isles Beach	US	25.95065	-80.12282	America/New_York
4174402	Sunrise	US	26.13397	-80.1131	America/New_York
4174425	Sunset	US	25.70594	-80.35228	America/New_York
4174715	Tallahassee	US	30.43826	-84.28073	America/New_York
4174738	Tamarac	US	26.21286	-80.24977	America/New_York
4174744	Tamiami	US	25.75871	-80.39839	America/New_York
4174757	Tampa	US	27.94752	-82.45843	America/New_York
4174855	Tarpon Springs	US	28.14612	-82.75677	America/New_York
4174969	Temple Terrace	US	28.0353	-82.38926	America/New_York
4175091	The Crossings	US	25.67066	-80.40117	America/New_York
4175117	The Hammocks	US	25.67149	-80.4445	America/New_York
4175179	The Villages	US	28.93408	-81.95994	America/New_York
4175296	Three Lakes	US	25.64205	-80.39839	America/New_York
4175437	Titusville	US	28.61222	-80.80755	America/New_York
4175538	Town 'n' Country	US	28.01057	-82.57732	America/New_York
4176217	University Park	US	25.74649	-80.36755	America/New_York
4176318	Valrico	US	27.93789	-82.23644	America/New_York
4176380	Venice	US	27.09978	-82.45426	America/New_York
4176409	Vero Beach	US	27.63864	-80.39727	America/New_York
4177671	Wekiwa Springs	US	28.69861	-81.42563	America/New_York
4177703	Wellington	US	26.65868	-80.24144	America/New_York
4177727	Wesley Chapel	US	28.23973	-82.32787	America/New_York
4177779	Westchase	US	28.05502	-82.60982	America/New_York
4177865	West Little River	US	25.85704	-80.23699	America/New_York
4177872	West Melbourne	US	28.07168	-80.65339	America/New_York
4177887	West Palm Beach	US	26.71534	-80.05337	America/New_York
4177908	West Pensacola	US	30.42659	-87.27969	America/Chicago
4177960	West and East Lealman	US	27.81993	-82.68944	America/New_York
4177965	Westchester	US	25.75482	-80.32727	America/New_York
4178003	Weston	US	26.10037	-80.39977	America/New_York
4178550	Winter Garden	US	28.56528	-81.58618	America/New_York
4178552	Winter Haven	US	28.02224	-81.73286	America/New_York
4178560	Winter Park	US	28.6	-81.33924	America/New_York
4178573	Winter Springs	US	28.69889	-81.30812	America/New_York
4178775	Wright	US	30.45575	-86.63829	America/Chicago
4179074	Acworth	US	34.06635	-84.67837	America/New_York
4179320	Albany	US	31.57851	-84.15574	America/New_York
4179574	Alpharetta	US	34.07538	-84.29409	America/New_York
4179667	Americus	US	32.07239	-84.23269	America/New_York
4180386	Athens	US	33.96095	-83.37794	America/New_York
4180439	Atlanta	US	33.749	-84.38798	America/New_York
4180531	Augusta	US	33.47097	-81.97484	America/New_York
4181936	Belvedere Park	US	33.75483	-84.26742	America/New_York
4184845	Brunswick	US	31.14995	-81.49149	America/New_York
4185657	Calhoun	US	34.50259	-84.95105	America/New_York
4186213	Canton	US	34.23676	-84.49076	America/New_York
4186416	Carrollton	US	33.58011	-85.07661	America/New_York
4186531	Cartersville	US	34.16533	-84.80231	America/New_York
4188985	Columbus	US	32.46098	-84.98771	America/New_York
4189213	Conyers	US	33.66761	-84.01769	America/New_York
4190581	Dalton	US	34.7698	-84.97022	America/New_York
4191124	Decatur	US	33.77483	-84.29631	America/New_York
4191955	Douglasville	US	33.7515	-84.74771	America/New_York
4192205	Dublin	US	32.54044	-82.90375	America/New_York
4192289	Duluth	US	34.00288	-84.14464	America/New_York
4192375	Dunwoody	US	33.94621	-84.33465	America/New_York
4192674	East Point	US	33.67955	-84.43937	America/New_York
4193699	Evans	US	33.53375	-82.13067	America/New_York
4194474	Fayetteville	US	33.44873	-84.45493	America/New_York
4195701	Forest Park	US	33.62205	-84.36909	America/New_York
4196586	Gainesville	US	34.29788	-83.82407	America/New_York
4198322	Griffin	US	33.24678	-84.26409	America/New_York
4200671	Hinesville	US	31.84688	-81.59595	America/New_York
4203696	Kennesaw	US	34.02343	-84.61549	America/New_York
4204007	Kingsland	US	30.79996	-81.68983	America/New_York
4204230	La Grange	US	33.03929	-85.03133	America/New_York
4205196	Lawrenceville	US	33.95621	-83.98796	America/New_York
4205885	Lithia Springs	US	33.794	-84.66049	America/New_York
4207226	Mableton	US	33.81872	-84.58243	America/New_York
4207400	Macon	US	32.84069	-83.6324	America/New_York
4207783	Marietta	US	33.9526	-84.54993	America/New_York
4207981	Martinez	US	33.51736	-82.07567	America/New_York
4208442	McDonough	US	33.44734	-84.14686	America/New_York
4209448	Milledgeville	US	33.08014	-83.2321	America/New_York
4212684	Newnan	US	33.38067	-84.79966	America/New_York
4212937	North Atlanta	US	33.8651	-84.33659	America/New_York
4212992	North Decatur	US	33.79038	-84.30603	America/New_York
4212995	North Druid Hills	US	33.81677	-84.31326	America/New_York
4215110	Peachtree City	US	33.39678	-84.59576	America/New_York
4216948	Pooler	US	32.11548	-81.24706	America/New_York
4218165	Redan	US	33.74538	-84.13158	America/New_York
4219001	Riverdale	US	33.57261	-84.41326	America/New_York
4219762	Rome	US	34.25704	-85.16467	America/New_York
4219934	Roswell	US	34.02316	-84.36159	America/New_York
4220629	St. Marys	US	30.73051	-81.54649	America/New_York
4221333	Sandy Springs	US	33.92427	-84.37854	America/New_York
4221552	Savannah	US	32.08354	-81.09983	America/New_York
4223379	Smyrna	US	33.88399	-84.51438	America/New_York
4223413	Snellville	US	33.85733	-84.01991	America/New_York
4224413	Statesboro	US	32.44879	-81.78317	America/New_York
4224681	Stockbridge	US	33.54428	-84.23381	America/New_York
4225039	Sugar Hill	US	34.10649	-84.03352	America/New_York
4225309	Suwanee	US	34.05149	-84.0713	America/New_York
4226348	Thomasville	US	30.83658	-83.97878	America/New_York
4226552	Tifton	US	31.45046	-83.5085	America/New_York
4227213	Tucker	US	33.85455	-84.21714	America/New_York
4227777	Union City	US	33.58706	-84.54243	America/New_York
4228147	Valdosta	US	30.83334	-83.28032	America/New_York
4229476	Warner Robins	US	32.62098	-83.5999	America/New_York
4231354	Wilmington Island	US	32.00355	-80.97372	America/New_York
4231874	Woodstock	US	34.10149	-84.51938	America/New_York
4232679	Alton	US	38.8906	-90.18428	America/Chicago
4233813	Belleville	US	38.52005	-89.98399	America/Chicago
4234969	Cahokia	US	38.57088	-90.19011	America/Chicago
4235193	Carbondale	US	37.72727	-89.21675	America/Chicago
4235668	Charleston	US	39.49615	-88.17615	America/Chicago
4236191	Collinsville	US	38.67033	-89.98455	America/Chicago
4236895	Decatur	US	39.84031	-88.9548	America/Chicago
4237579	East Saint Louis	US	38.6245	-90.15094	America/Chicago
4237717	Edwardsville	US	38.81144	-89.95316	America/Chicago
4238132	Fairview Heights	US	38.58894	-89.99038	America/Chicago
4239509	Godfrey	US	38.9556	-90.18678	America/Chicago
4239714	Granite City	US	38.70144	-90.14872	America/Chicago
4241704	Jacksonville	US	39.73394	-90.22901	America/Chicago
4243899	Marion	US	37.73061	-88.93313	America/Chicago
4244099	Mattoon	US	39.48309	-88.37283	America/Chicago
4245152	Mount Vernon	US	38.31727	-88.90312	America/Chicago
4245926	O'Fallon	US	38.59227	-89.91121	America/Chicago
4247703	Quincy	US	39.9356	-91.40987	America/Chicago
4250542	Springfield	US	39.80172	-89.64371	America/Chicago
4251841	Upper Alton	US	38.91144	-90.15066	America/Chicago
4254679	Bloomington	US	39.16533	-86.52639	America/Indiana/Indianapolis
4254957	Broad Ripple	US	39.86671	-86.14165	America/Indiana/Indianapolis
4255056	Brownsburg	US	39.84338	-86.39777	America/Indiana/Indianapolis
4255466	Carmel	US	39.97837	-86.11804	America/Indiana/Indianapolis
4255836	Clarksville	US	38.29674	-85.75996	America/Kentucky/Louisville
4256038	Columbus	US	39.20144	-85.92138	America/Indiana/Indianapolis
4257227	Evansville	US	37.97476	-87.55585	America/Chicago
4257494	Fishers	US	39.95559	-86.01387	America/Indiana/Indianapolis
4258285	Greenfield	US	39.78504	-85.76942	America/Indiana/Indianapolis
4258313	Greenwood	US	39.61366	-86.10665	America/Indiana/Indianapolis
4259418	Indianapolis	US	39.76838	-86.15804	America/Indiana/Indianapolis
4259640	Jasper	US	38.39144	-86.93111	America/Indiana/Vincennes
4259671	Jeffersonville	US	38.27757	-85.73718	America/Kentucky/Louisville
4260210	Lawrence	US	39.83865	-86.02526	America/Indiana/Indianapolis
4262045	New Albany	US	38.28562	-85.82413	America/Kentucky/Louisville
4262072	New Castle	US	39.92894	-85.37025	America/Indiana/Indianapolis
4263108	Plainfield	US	39.70421	-86.39944	America/Indiana/Indianapolis
4263681	Richmond	US	39.82894	-84.89024	America/Indiana/Indianapolis
4264617	Seymour	US	38.95922	-85.89025	America/Indiana/Indianapolis
4264688	Shelbyville	US	39.52144	-85.77692	America/Indiana/Indianapolis
4265737	Terre Haute	US	39.4667	-87.41391	America/Indiana/Indianapolis
4266307	Vincennes	US	38.67727	-87.52863	America/Indiana/Vincennes
4270356	Derby	US	37.54557	-97.26893	America/Chicago
4271086	Emporia	US	38.4039	-96.18166	America/Chicago
4271935	Gardner	US	38.81084	-94.92719	America/Chicago
4272340	Great Bend	US	38.36446	-98.76481	America/Chicago
4272782	Hays	US	38.87918	-99.32677	America/Chicago
4273299	Hutchinson	US	38.06084	-97.92977	America/Chicago
4273680	Junction City	US	39.02861	-96.8314	America/Chicago
4273837	Kansas City	US	39.11417	-94.62746	America/Chicago
4274277	Lawrence	US	38.97167	-95.23525	America/Chicago
4274305	Leavenworth	US	39.31111	-94.92246	America/Chicago
4274317	Leawood	US	38.96667	-94.6169	America/Chicago
4274356	Lenexa	US	38.95362	-94.73357	America/Chicago
4274994	Manhattan	US	39.18361	-96.57167	America/Chicago
4276248	Newton	US	38.04668	-97.34504	America/Chicago
4276614	Olathe	US	38.8814	-94.81913	America/Chicago
4276873	Overland Park	US	38.98223	-94.67079	America/Chicago
4277241	Pittsburg	US	37.41088	-94.70496	America/Chicago
4277718	Prairie Village	US	38.99167	-94.63357	America/Chicago
4278890	Salina	US	38.84028	-97.61142	America/Chicago
4279247	Shawnee	US	39.04167	-94.72024	America/Chicago
4280539	Topeka	US	39.04833	-95.67804	America/Chicago
4281730	Wichita	US	37.69224	-97.33754	America/Chicago
4282757	Ashland	US	38.47841	-82.63794	America/New_York
4285268	Bowling Green	US	36.99032	-86.4436	America/Chicago
4286281	Burlington	US	39.02756	-84.72411	America/New_York
4288809	Covington	US	39.08367	-84.50855	America/New_York
4289445	Danville	US	37.64563	-84.77217	America/New_York
4290988	Elizabethtown	US	37.69395	-85.85913	America/New_York
4291255	Erlanger	US	39.01673	-84.60078	America/New_York
4291620	Fern Creek	US	38.15979	-85.58774	America/Kentucky/Louisville
4291945	Florence	US	38.99895	-84.62661	America/New_York
4292071	Fort Thomas	US	39.07506	-84.44716	America/New_York
4292188	Frankfort	US	38.20091	-84.87328	America/New_York
4292686	Georgetown	US	38.2098	-84.55883	America/New_York
4294494	Henderson	US	37.83615	-87.59001	America/Chicago
4294799	Highview	US	38.14285	-85.62413	America/Kentucky/Louisville
4295251	Hopkinsville	US	36.86561	-87.49117	America/Chicago
4295776	Independence	US	38.94312	-84.54411	America/New_York
4295940	Ironville	US	38.45647	-82.69238	America/New_York
4296218	Jeffersontown	US	38.19424	-85.5644	America/Kentucky/Louisville
4297983	Lexington	US	37.98869	-84.47772	America/New_York
4297999	Lexington-Fayette	US	38.0498	-84.45855	America/New_York
4299276	Louisville	US	38.25424	-85.75941	America/Kentucky/Louisville
4299670	Madisonville	US	37.3281	-87.49889	America/Chicago
4300488	Meads	US	38.41258	-82.70905	America/New_York
4302035	Murray	US	36.61033	-88.31476	America/Chicago
4302504	Newburg	US	38.16007	-85.65968	America/Kentucky/Louisville
4302529	Newport	US	39.09145	-84.49578	America/New_York
4302561	Nicholasville	US	37.88063	-84.573	America/New_York
4303012	Okolona	US	38.14118	-85.68774	America/Kentucky/Louisville
4303436	Owensboro	US	37.77422	-87.11333	America/Chicago
4304713	Pleasure Ridge Park	US	38.14535	-85.8583	America/Kentucky/Louisville
4305504	Radcliff	US	37.84035	-85.94913	America/New_York
4305974	Richmond	US	37.74786	-84.29465	America/New_York
4307238	Saint Matthews	US	38.25285	-85.65579	America/Kentucky/Louisville
4308225	Shively	US	38.20007	-85.82274	America/Kentucky/Louisville
4311963	Valley Station	US	38.11118	-85.87024	America/Kentucky/Louisville
4313697	Winchester	US	37.99008	-84.17965	America/New_York
4314550	Alexandria	US	31.31129	-92.44514	America/Chicago
4315588	Baton Rouge	US	30.45075	-91.15455	America/Chicago
4315768	Bayou Cane	US	29.6241	-90.7512	America/Chicago
4317639	Bossier City	US	32.51599	-93.73212	America/Chicago
4319435	Central	US	30.55435	-91.03677	America/Chicago
4319518	Chalmette	US	29.94296	-89.96537	America/Chicago
4323873	Estelle	US	29.84576	-90.10674	America/Chicago
4326575	Gretna	US	29.91465	-90.05396	America/Chicago
4326868	Hammond	US	30.50436	-90.4612	America/Chicago
4327047	Harvey	US	29.90354	-90.07729	America/Chicago
4328010	Houma	US	29.59577	-90.71953	America/Chicago
4329753	Kenner	US	29.99409	-90.24174	America/Chicago
4330145	Lafayette	US	30.22409	-92.01984	America/Chicago
4330236	Lake Charles	US	30.21309	-93.2044	America/Chicago
4330525	Laplace	US	30.06659	-90.48008	America/Chicago
4332628	Marrero	US	29.89937	-90.10035	America/Chicago
4333177	Metairie	US	29.98409	-90.15285	America/Chicago
4333190	Metairie Terrace	US	29.97854	-90.16396	America/Chicago
4333669	Monroe	US	32.50931	-92.1193	America/Chicago
4334720	Natchitoches	US	31.76072	-93.08627	America/Chicago
4334971	New Iberia	US	30.00354	-91.81873	America/Chicago
4335045	New Orleans	US	29.95465	-90.07507	America/Chicago
4336153	Opelousas	US	30.53353	-92.08151	America/Chicago
4338012	Prairieville	US	30.30297	-90.97205	America/Chicago
4339348	Ruston	US	32.52321	-92.63793	America/Chicago
4341378	Shenandoah	US	30.4013	-91.00094	America/Chicago
4341513	Shreveport	US	32.52515	-93.75018	America/Chicago
4341727	Slidell	US	30.27519	-89.78117	America/Chicago
4342816	Sulphur	US	30.23659	-93.37738	America/Chicago
4343327	Terrytown	US	29.91021	-90.03257	America/Chicago
4346991	Adelphi	US	39.00317	-76.97192	America/New_York
4347242	Annapolis	US	38.97845	-76.49218	America/New_York
4347371	Arbutus	US	39.25455	-76.69997	America/New_York
4347426	Arnold	US	39.03206	-76.50274	America/New_York
4347553	Aspen Hill	US	39.07955	-77.07303	America/New_York
4347778	Baltimore	US	39.29038	-76.61219	America/New_York
4347839	Ballenger Creek	US	39.3726	-77.43526	America/New_York
4348353	Beltsville	US	39.03483	-76.90747	America/New_York
4348599	Bethesda	US	38.98067	-77.10026	America/New_York
4349159	Bowie	US	38.94278	-76.73028	America/New_York
4350160	Calverton	US	39.05761	-76.93581	America/New_York
4350288	Camp Springs	US	38.804	-76.90664	America/New_York
4350413	Carney	US	39.39427	-76.52358	America/New_York
4350635	Catonsville	US	39.27205	-76.73192	America/New_York
4351383	Chillum	US	38.96372	-76.99081	America/New_York
4351851	Cloverly	US	39.10816	-76.99775	America/New_York
4351871	Clinton	US	38.76511	-76.89831	America/New_York
4351887	Cockeysville	US	39.48122	-76.64386	America/New_York
4351977	College Park	US	38.98067	-76.93692	America/New_York
4352053	Columbia	US	39.24038	-76.83942	America/New_York
4352539	Crofton	US	39.00178	-76.68747	America/New_York
4352681	Cumberland	US	39.65287	-78.76252	America/New_York
4352728	Damascus	US	39.28844	-77.20387	America/New_York
4353765	Dundalk	US	39.25066	-76.52052	America/New_York
4353925	East Riverdale	US	38.96206	-76.92192	America/New_York
4353962	Easton	US	38.77428	-76.07633	America/New_York
4354087	Edgewood	US	39.41872	-76.2944	America/New_York
4354163	Eldersburg	US	39.40371	-76.95026	America/New_York
4354234	Elkton	US	39.60678	-75.83327	America/New_York
4354256	Elkridge	US	39.21261	-76.71358	America/New_York
4354265	Ellicott City	US	39.26733	-76.79831	America/New_York
4354428	Essex	US	39.30927	-76.47496	America/New_York
4354573	Fairland	US	39.07622	-76.95775	America/New_York
4354821	Ferndale	US	39.18316	-76.64024	America/New_York
4355355	Fort Washington	US	38.70734	-77.02303	America/New_York
4355585	Frederick	US	39.41427	-77.41054	America/New_York
4355843	Gaithersburg	US	39.14344	-77.20137	America/New_York
4356050	Germantown	US	39.17316	-77.27165	America/New_York
4356165	Glassmanor	US	38.819	-76.99859	America/New_York
4356188	Glen Burnie	US	39.16261	-76.62469	America/New_York
4356783	Green Haven	US	39.13955	-76.54774	America/New_York
4356847	Greenbelt	US	39.00455	-76.87553	America/New_York
4357141	Hagerstown	US	39.64176	-77.71999	America/New_York
4357340	Hanover	US	39.19289	-76.72414	America/New_York
4358082	Hillcrest Heights	US	38.83289	-76.95942	America/New_York
4358701	Hunt Valley	US	39.49983	-76.64108	America/New_York
4358821	Hyattsville	US	38.95594	-76.94553	America/New_York
4358864	Ilchester	US	39.25094	-76.76469	America/New_York
4360201	Lake Shore	US	39.10705	-76.48496	America/New_York
4360287	Landover	US	38.934	-76.89664	America/New_York
4360314	Langley Park	US	38.98872	-76.98136	America/New_York
4360369	Laurel	US	39.09928	-76.84831	America/New_York
4360954	Lochearn	US	39.34066	-76.72219	America/New_York
4361831	Maryland City	US	39.09205	-76.81775	America/New_York
4362344	Middle River	US	39.33427	-76.43941	America/New_York
4362438	Milford Mill	US	39.34788	-76.76997	America/New_York
4362743	Montgomery Village	US	39.17677	-77.19526	America/New_York
4363836	North Bel Air	US	39.53983	-76.35496	America/New_York
4363843	North Bethesda	US	39.04455	-77.11887	America/New_York
4363990	North Potomac	US	39.08289	-77.26498	America/New_York
4364362	Odenton	US	39.084	-76.70025	America/New_York
4364537	Olney	US	39.15316	-77.06692	America/New_York
4364727	Owings Mills	US	39.41955	-76.78025	America/New_York
4364759	Oxon Hill	US	38.80345	-76.9897	America/New_York
4364946	Parkville	US	39.37733	-76.53969	America/New_York
4364964	Parole	US	38.97956	-76.53052	America/New_York
4364990	Pasadena	US	39.10733	-76.57108	America/New_York
4365227	Perry Hall	US	39.41261	-76.46357	America/New_York
4365387	Pikesville	US	39.37427	-76.72247	America/New_York
4366001	Potomac	US	39.01817	-77.20859	America/New_York
4366476	Randallstown	US	39.36733	-76.79525	America/New_York
4366593	Redland	US	39.14539	-77.14415	America/New_York
4366647	Reisterstown	US	39.46955	-76.82942	America/New_York
4367175	Rockville	US	39.084	-77.15276	America/New_York
4367372	Rosedale	US	39.32011	-76.51552	America/New_York
4367419	Rossville	US	39.33844	-76.47968	America/New_York
4367734	Saint Charles	US	38.60317	-76.93858	America/New_York
4368711	Salisbury	US	38.36067	-75.59937	America/New_York
4369076	Seabrook	US	38.96789	-76.84497	America/New_York
4369190	Severn	US	39.13705	-76.6983	America/New_York
4369224	Severna Park	US	39.07039	-76.54524	America/New_York
4369596	Silver Spring	US	38.99067	-77.02609	America/New_York
4369928	South Bel Air	US	39.53316	-76.33746	America/New_York
4369964	South Gate	US	39.129	-76.6258	America/New_York
4369978	South Laurel	US	39.06983	-76.85025	America/New_York
4370616	Suitland	US	38.84872	-76.92386	America/New_York
4370890	Takoma Park	US	38.97789	-77.00748	America/New_York
4371582	Towson	US	39.4015	-76.60191	America/New_York
4372599	Waldorf	US	38.62456	-76.93914	America/New_York
4373104	West Elkridge	US	39.20705	-76.72692	America/New_York
4373238	Westminster	US	39.57538	-76.99581	America/New_York
4373349	Wheaton	US	39.03983	-77.05526	America/New_York
4373449	White Oak	US	39.03983	-76.99303	America/New_York
4374054	Woodlawn	US	39.32288	-76.72803	America/New_York
4374513	Affton	US	38.55061	-90.33317	America/Chicago
4375087	Arnold	US	38.43283	-90.37762	America/Chicago
4375663	Ballwin	US	38.59505	-90.54623	America/Chicago
4376482	Belton	US	38.81195	-94.5319	America/Chicago
4377664	Blue Springs	US	39.01695	-94.28161	America/Chicago
4379966	Cape Girardeau	US	37.30588	-89.51815	America/Chicago
4381072	Chesterfield	US	38.66311	-90.57707	America/Chicago
4381478	Clayton	US	38.64255	-90.32373	America/Chicago
4381982	Columbia	US	38.95171	-92.33407	America/Chicago
4382072	Concord	US	38.5245	-90.35734	America/Chicago
4382837	Creve Coeur	US	38.66089	-90.42262	America/Chicago
4385018	East Independence	US	39.09556	-94.35523	America/Chicago
4386289	Farmington	US	37.78088	-90.42179	America/Chicago
4386387	Ferguson	US	38.74422	-90.30539	America/Chicago
4386802	Florissant	US	38.78922	-90.32261	America/Chicago
4387990	Gladstone	US	39.20389	-94.55468	America/Chicago
4388460	Grandview	US	38.88584	-94.53301	America/Chicago
4389418	Hannibal	US	39.70838	-91.35848	America/Chicago
4389967	Hazelwood	US	38.77144	-90.37095	America/Chicago
4391812	Independence	US	39.09112	-94.41551	America/Chicago
4392388	Jefferson City	US	38.5767	-92.17352	America/Chicago
4392768	Joplin	US	37.08423	-94.51328	America/Chicago
4393217	Kansas City	US	39.09973	-94.57857	America/Chicago
4393739	Kirkwood	US	38.58339	-90.40678	America/Chicago
4394870	Lees Summit	US	38.91084	-94.38217	America/Chicago
4394905	Lemay	US	38.53339	-90.27928	America/Chicago
4395052	Liberty	US	39.24611	-94.41912	America/Chicago
4396915	Manchester	US	38.597	-90.50929	America/Chicago
4397340	Maryland Heights	US	38.71311	-90.42984	America/Chicago
4397962	Mehlville	US	38.50839	-90.32289	America/Chicago
4400648	Nixa	US	37.04339	-93.29435	America/Chicago
4401242	O'Fallon	US	38.81061	-90.69985	America/Chicago
4401618	Oakville	US	38.47005	-90.30456	America/Chicago
4402178	Overland	US	38.70116	-90.36234	America/Chicago
4402245	Ozark	US	37.02089	-93.20602	America/Chicago
4404233	Poplar Bluff	US	36.757	-90.39289	America/Chicago
4405180	Raymore	US	38.80195	-94.45273	America/Chicago
4405188	Raytown	US	39.00862	-94.46356	America/Chicago
4406282	Rolla	US	37.95143	-91.77127	America/Chicago
4406831	Saint Charles	US	38.78394	-90.48123	America/Chicago
4407010	Saint Joseph	US	39.76861	-94.84663	America/Chicago
4407066	St. Louis	US	38.62727	-90.19789	America/Chicago
4407237	Saint Peters	US	38.80033	-90.62651	America/Chicago
4408000	Sedalia	US	38.70446	-93.22826	America/Chicago
4408672	Sikeston	US	36.87672	-89.58786	America/Chicago
4409591	Spanish Lake	US	38.78783	-90.21594	America/Chicago
4409896	Springfield	US	37.21533	-93.29824	America/Chicago
4412697	University City	US	38.65588	-90.30928	America/Chicago
4413595	Warrensburg	US	38.76279	-93.73605	America/Chicago
4413872	Webster Groves	US	38.59255	-90.35734	America/Chicago
4414001	Wentzville	US	38.81144	-90.85291	America/Chicago
4414749	Wildwood	US	38.58283	-90.6629	America/Chicago
4418478	Biloxi	US	30.39603	-88.88531	America/Chicago
4419290	Brandon	US	32.2732	-89.98592	America/Chicago
4421935	Clarksdale	US	34.20011	-90.57093	America/Chicago
4422133	Clinton	US	32.34153	-90.32176	America/Chicago
4422442	Columbus	US	33.49567	-88.42726	America/Chicago
4427569	Gautier	US	30.38575	-88.61169	America/Chicago
4428475	Greenville	US	33.41012	-91.06177	America/Chicago
4428495	Greenwood	US	33.51623	-90.17953	America/Chicago
4428667	Gulfport	US	30.36742	-89.09282	America/Chicago
4429295	Hattiesburg	US	31.32712	-89.29034	America/Chicago
4430400	Horn Lake	US	34.95537	-90.03481	America/Chicago
4431410	Jackson	US	32.29876	-90.18481	America/Chicago
4433039	Laurel	US	31.69405	-89.13061	America/Chicago
4434663	Madison	US	32.46181	-90.11536	America/Chicago
4435764	Meridian	US	32.36431	-88.70366	America/Chicago
4437982	Natchez	US	31.56044	-91.40317	America/Chicago
4439506	Ocean Springs	US	30.41131	-88.82781	America/Chicago
4439869	Olive Branch	US	34.96176	-89.82953	America/Chicago
4440076	Oxford	US	34.3665	-89.51925	America/Chicago
4440397	Pascagoula	US	30.36576	-88.55613	America/Chicago
4440559	Pearl	US	32.27459	-90.13203	America/Chicago
4443296	Ridgeland	US	32.42848	-90.13231	America/Chicago
4446675	Southaven	US	34.98898	-90.01259	America/Chicago
4447161	Starkville	US	33.45049	-88.81961	America/Chicago
4448903	Tupelo	US	34.25807	-88.70464	America/Chicago
4449620	Vicksburg	US	32.35265	-90.87788	America/Chicago
4450687	West Gulfport	US	30.40409	-89.0942	America/Chicago
4452303	Albemarle	US	35.35014	-80.20006	America/New_York
4452808	Apex	US	35.73265	-78.85029	America/New_York
4453035	Asheboro	US	35.70791	-79.81364	America/New_York
4453066	Asheville	US	35.60095	-82.55402	America/New_York
4456703	Boone	US	36.21679	-81.67455	America/New_York
4458228	Burlington	US	36.09569	-79.4378	America/New_York
4459343	Carrboro	US	35.91014	-79.07529	America/New_York
